patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,14.449,1.289,4.269,8.756,15.584,0.001,0.05,0.1,0.18
0,1,500,14.582,15.713,15.716,16.077,15.669,0,0,0,0
0,2,0,10.322,1.264,4.869,8.999,15.658,0.001,0.05,0.1,0.24
0,2,500,10.296,16.001,15.715,15.692,15.692,0,0,0,0
0,3,0,10.338,1.365,5.383,9.01,15.654,0.001,0.05,0.1,0.24
0,3,500,11.381,15.675,15.68,15.723,15.693,0,0,0,0
1,3,0,20.621,1.677,4.122,9.094,15.888,0.001,0.05,0.1,0.18
1,3,500,20.619,15.953,15.957,15.936,15.948,0,0,0,0
0,4,0,10.309,1.951,5.852,8.984,15.671,0.001,0.05,0.1,0.221
0,4,500,10.329,15.727,15.895,15.896,15.909,0,0,0,0
2,4,0,20.585,2.345,4.516,9.018,15.97,0.001,0.05,0.1,0.18
2,4,500,20.609,15.919,15.915,15.937,15.938,0,0,0,0
0,5,0,10.342,3.199,6.256,8.844,17.958,0.001,0.05,0.1,0.24
0,5,500,10.34,18.071,18.012,18.024,17.38,0,0,0,0
2,5,0,20.654,2.567,4.185,6.291,17.539,0.001,0.05,0.1,0.27
2,5,500,20.62,15.931,15.925,15.936,15.952,0,0,0,0
0,6,0,10.33,3.478,6.739,9.061,15.725,0.001,0.05,0.1,0.241
0,6,500,11.406,15.77,15.762,15.917,15.861,0,0,0,0
3,6,0,20.629,4.125,5.106,6.723,15.885,0.001,0.05,0.1,0.27
3,6,500,20.633,15.912,15.908,15.903,16.085,0,0,0,0
0,7,0,10.429,4.651,7.651,10.228,16.739,0.001,0.05,0.1,0.242
0,7,500,10.45,16.764,16.77,16.769,16.764,0,0,0,0
3,7,0,22.324,4.124,5.1,6.101,15.893,0.001,0.05,0.1,0.36
3,7,500,21.238,15.921,15.918,15.982,15.906,0,0,0,0
0,8,0,10.337,5.222,7.631,11.347,15.742,0.001,0.05,0.1,0.248
0,8,500,10.361,15.786,15.799,15.807,15.81,0,0,0,0
4,8,0,20.663,5.922,6.89,7.901,15.889,0.001,0.05,0.1,0.36
4,8,500,20.832,15.932,15.933,15.943,15.93,0,0,0,0
0,9,0,10.431,6.103,8.638,13.11,15.784,0.001,0.05,0.1,0.247
0,9,500,11.627,15.822,15.842,15.808,15.815,0,0,0,0
4,9,0,21.074,5.919,6.891,7.89,15.909,0.001,0.05,0.1,0.54
4,9,500,20.702,15.462,15.99,16.054,16.145,0.001,0.04,0.04,0.04
