patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,14.732,11.356,14.665,15.239,17.98,0.001,0.05,0.1,0.18
0,1,500,14.666,15.859,15.867,15.865,15.886,0,0,0,0
0,2,0,10.491,1.295,5.082,9.647,15.937,0.001,0.05,0.1,0.24
0,2,500,10.487,16.106,15.975,15.976,16.052,0,0,0,0
0,3,0,11.873,1.393,5.543,9.191,15.97,0.001,0.05,0.1,0.24
0,3,500,10.526,15.971,15.978,15.955,15.967,0,0,0,0
1,3,0,21.119,1.724,4.303,9.312,16.212,0.001,0.05,0.1,0.18
1,3,500,21.063,16.241,16.24,16.367,16.317,0,0,0,0
0,4,0,10.613,1.983,5.935,9.133,15.947,0.001,0.05,0.1,0.221
0,4,500,10.579,15.988,15.966,15.975,16.094,0,0,0,0
2,4,0,21.228,2.378,4.636,9.748,16.216,0.001,0.05,0.1,0.18
2,4,500,21.146,16.262,16.302,16.395,16.406,0,0,0,0
0,5,0,10.582,2.645,6.995,16.005,16.02,0.001,0.05,0.1,0.24
0,5,500,10.659,16.011,23.036,16.119,16.081,0,0,0,0
2,5,0,21.205,2.38,5.401,8.354,18.755,0.001,0.05,0.1,0.27
2,5,500,21.103,16.303,16.279,16.359,16.243,0,0,0,0
0,6,0,10.585,3.53,13.913,14.369,16.019,0.001,0.05,0.1,0.241
0,6,500,10.588,16.044,16.079,16.175,16.063,0,0,0,0
3,6,0,21.092,4.208,5.221,6.89,16.194,0.001,0.05,0.1,0.27
3,6,500,20.968,16.267,20.253,16.289,22.707,0,0,0,0
0,7,0,10.595,4.428,7.893,9.954,16.042,0.001,0.05,0.1,0.242
0,7,500,10.588,16.104,16.208,16.073,16.058,0,0,0,0
3,7,0,21.213,4.225,5.215,6.243,16.262,0.001,0.05,0.1,0.36
3,7,500,21.176,16.425,16.303,16.224,16.241,0,0,0,0
0,8,0,10.546,5.323,7.775,11.576,16.073,0.001,0.05,0.1,0.248
0,8,500,10.553,16.231,16.109,16.075,16.104,0,0,0,0
4,8,0,21.022,6.037,7.039,8.061,16.208,0.001,0.05,0.1,0.36
4,8,500,21.05,16.635,16.255,16.227,16.214,0,0,0,0
0,9,0,10.619,6.923,8.445,14.298,17.121,0.001,0.05,0.1,0.247
0,9,500,10.571,17.164,16.347,17.092,16.428,0,0,0,0
4,9,0,20.993,6.026,7.052,8.13,16.307,0.001,0.05,0.1,0.54
4,9,500,21.171,15.746,16.216,16.221,16.23,0.001,0.04,0.04,0.04
