patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.00312,0.23972,0.0038599999999999997,0.00278,0.00322,0.001,0.00222,0.00222,0.00222
0,500,0.0025,0.00858,0.0064800000000000005,0.00642,0.00698,0,0,0,0
1,0,13.29366,2.70186,1.14274,0.73656,0.73036,0.001,0.00202,0.00202,0.00202
1,500,0.62246,0.6330399999999999,0.61514,0.5992000000000001,0.5889800000000001,0,0,0,0
2,0,2.81372,0.3982,0.6307,0.6182000000000001,0.6060800000000001,0.001,0.00222,0.00222,0.00222
2,500,0.5291399999999999,0.54422,0.5320199999999999,0.52216,0.51554,0,0,0,0
3,0,3.37404,0.41246,0.61878,0.6048,0.59712,0.001,0.0023799999999999997,0.0023799999999999997,0.0023799999999999997
3,500,0.5177,0.5277000000000001,0.51474,0.49972000000000005,0.49366000000000004,0,0,0,0
4,0,1.76958,0.37445999999999996,0.54902,0.54246,0.53492,0.00098,0.0023799999999999997,0.0023799999999999997,0.0023799999999999997
4,500,0.46527999999999997,0.4758,0.46576,0.45982,0.45516,0,0,0,0
5,0,3.05396,0.33972,0.51038,0.50364,0.49904000000000004,0.00098,0.00252,0.00252,0.00252
5,500,0.43513999999999997,0.4466,0.43766000000000005,0.43145999999999995,0.42518,0,0,0,0
6,0,2.9166999999999996,0.36042,0.50884,0.50622,0.50218,0.0009599999999999999,0.0024,0.0024,0.0024
6,500,0.4358,0.44812,0.43686,0.43294,0.44218,0,0,0,0
7,0,3.65914,0.35136,0.46826,0.4735,0.48386,0.00098,0.0024,0.0024,0.0024
7,500,0.41068,0.42584,0.41272000000000003,0.40718,0.40188,0,0,0,0
8,0,3.69848,0.359,0.48856,0.48674,0.48106,0.001,0.0025,0.0025,0.0025
8,500,0.41734,0.42886,0.41968,0.41386,0.40334,0,0,0,0
9,0,2.31978,0.3446,0.45054,0.44974000000000003,0.44582,0.00098,0.00244,0.00244,0.00244
9,500,0.38094,0.39226,0.38374,0.37895999999999996,0.37666000000000005,0,0,0,0
