patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,0.137,0.036,0.097,0.097,0.097,0.001,0.001,0.001,0.001
0,1,500,0.131,0.103,0.102,0.103,0.103,0,0,0,0
0,2,0,0.132,0.037,0.099,0.097,0.097,0.001,0.002,0.002,0.002
0,2,500,0.131,0.105,0.103,0.103,0.103,0,0,0,0
0,3,0,0.116,0.041,0.097,0.097,0.096,0.001,0.002,0.002,0.002
0,3,500,0.112,0.103,0.102,0.101,0.101,0,0,0,0
1,3,0,0.215,0.04,0.098,0.097,0.097,0.001,0.002,0.002,0.002
1,3,500,0.212,0.103,0.102,0.114,0.102,0,0,0,0
0,4,0,0.116,0.036,0.096,0.095,0.096,0.001,0.002,0.002,0.002
0,4,500,0.118,0.102,0.1,0.101,0.101,0,0,0,0
2,4,0,0.211,0.047,0.096,0.098,0.096,0.001,0.001,0.001,0.001
2,4,500,0.211,0.102,0.101,0.108,0.101,0,0,0,0
0,5,0,0.129,0.032,0.097,0.097,0.097,0.001,0.002,0.002,0.002
0,5,500,0.128,0.102,0.103,0.102,0.102,0,0,0,0
2,5,0,0.229,0.036,0.097,0.096,0.096,0.001,0.002,0.002,0.002
2,5,500,0.23,0.102,0.101,0.101,0.101,0,0,0,0
0,6,0,0.113,0.032,0.097,0.096,0.096,0.001,0.002,0.002,0.002
0,6,500,0.121,0.101,0.101,0.101,0.101,0,0,0,0
3,6,0,0.197,0.035,0.096,0.097,0.096,0.001,0.002,0.002,0.002
3,6,500,0.195,0.106,0.102,0.102,0.102,0,0,0,0
0,7,0,0.112,0.037,0.097,0.096,0.096,0.001,0.002,0.002,0.002
0,7,500,0.111,0.103,0.101,0.101,0.101,0,0,0,0
3,7,0,0.197,0.036,0.105,0.096,0.097,0.001,0.003,0.003,0.003
3,7,500,0.195,0.103,0.103,0.102,0.108,0,0,0,0
0,8,0,0.115,0.039,0.098,0.098,0.098,0.001,0.002,0.002,0.002
0,8,500,0.114,0.103,0.111,0.103,0.102,0,0,0,0
4,8,0,0.203,0.036,0.097,0.098,0.114,0.001,0.004,0.004,0.004
4,8,500,0.204,0.102,0.102,0.102,0.101,0,0,0,0
0,9,0,0.104,0.039,0.094,0.094,0.095,0.001,0.002,0.002,0.002
0,9,500,0.101,0.1,0.1,0.099,0.099,0,0,0,0
4,9,0,0.188,0.037,0.095,0.097,0.096,0.001,0.005,0.005,0.005
4,9,500,0.188,0.102,0.101,0.1,0.1,0,0,0,0
