patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,18.476,10.561,19.914,28.85,60.088,0.001,0.05,0.1,0.462
0,1,500,18.5,43.189,43.253,43.587,43.259,0,0,0,0
0,2,0,17.461,1.533,4.678,6.459,43.538,0.001,0.05,0.1,0.616
0,2,500,17.461,42.42,42.402,42.388,43.454,0.001,0.05,0.1,0.116
0,3,0,15.403,2.601,4.52,6.669,43.589,0.001,0.05,0.1,0.616
0,3,500,15.404,42.532,42.559,42.844,43.528,0.001,0.05,0.1,0.116
1,3,0,32.927,1.94,8.547,17.233,44.189,0.001,0.05,0.1,0.462
1,3,500,32.867,44.098,44.146,44.084,44.029,0,0,0,0
0,4,0,17.575,7.35,7.64,8.414,43.582,0.001,0.05,0.1,0.539
0,4,500,17.566,42.78,57.377,43.51,43.555,0.001,0.039,0.039,0.039
2,4,0,35.674,6.622,7.904,11.607,44.942,0.001,0.05,0.1,0.462
2,4,500,34.969,44.295,44.017,43.989,44.043,0,0,0,0
0,5,0,12.149,8.361,7.672,7.948,44.546,0.001,0.05,0.1,0.616
0,5,500,11.265,42.898,42.917,42.863,43.831,0.001,0.05,0.1,0.116
2,5,0,28.961,6.62,7.659,8.763,44.544,0.001,0.05,0.1,0.693
2,5,500,30.849,30.81,36.916,49.657,46.376,0.001,0.05,0.1,0.193
0,6,0,14.513,10.757,16.359,12.608,45.077,0.001,0.05,0.1,0.616
0,6,500,14.481,43.059,43.093,43.035,43.902,0.001,0.05,0.1,0.116
3,6,0,24.497,11.556,12.586,13.678,44.592,0.001,0.05,0.1,0.693
3,6,500,24.432,30.444,32.59,37.537,44.05,0.001,0.05,0.1,0.193
0,7,0,7.598,12.089,12.425,12.743,44.675,0.001,0.05,0.1,0.616
0,7,500,7.726,43.055,43.089,43.059,43.828,0.001,0.05,0.1,0.116
3,7,0,22.109,11.468,12.551,13.614,44.279,0.001,0.05,0.1,0.924
3,7,500,22.107,22.638,27.178,27.981,44.173,0.001,0.05,0.1,0.424
0,8,0,8.236,14.523,14.791,15.074,43.9,0.001,0.05,0.1,0.616
0,8,500,6.677,43.509,43.571,43.531,43.835,0.001,0.05,0.1,0.116
4,8,0,22.451,16.379,17.425,18.503,44.169,0.001,0.05,0.1,0.924
4,8,500,22.434,34.332,29.816,33.436,44.469,0.001,0.05,0.1,0.424
0,9,0,6.071,17.861,17.569,17.862,44.834,0.001,0.05,0.1,0.616
0,9,500,6.057,43.429,43.344,44.612,44.027,0.001,0.05,0.1,0.116
4,9,0,20.411,16.411,17.546,18.695,44.462,0.001,0.05,0.1,1.386
4,9,500,20.517,26.996,35.977,36.405,55.953,0.001,0.05,0.1,0.886
