patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.013,0.006,0.025,0.028,0.022,0.001,0.05,0.082,0.082
0,500,0.008,0.019,0.025,0.02,0.019,0,0,0,0
1,0,18.389,3.929,27.517,6.532,5.123,0.001,0.05,0.082,0.082
1,500,2.343,5.739,2.105,2.003,2.32,0,0,0,0
2,0,2.629,0.171,2.898,3.084,2.88,0.001,0.05,0.067,0.067
2,500,1.348,1.846,1.28,1.28,1.28,0,0,0,0
3,0,1.367,0.128,2.545,3.007,2.635,0.001,0.05,0.06,0.06
3,500,1.366,1.322,1.321,1.322,1.322,0,0,0,0
4,0,1.378,0.148,2.277,2.638,2.689,0.001,0.05,0.062,0.062
4,500,1.807,1.368,1.328,1.32,1.32,0,0,0,0
5,0,1.372,0.98,2.449,2.644,4.019,0.001,0.05,0.059,0.059
5,500,1.371,1.324,1.323,1.322,1.323,0,0,0,0
6,0,3.046,0.149,2.73,2.636,2.637,0.001,0.05,0.061,0.061
6,500,1.397,1.324,1.323,1.323,1.323,0,0,0,0
7,0,1.375,0.447,2.361,2.964,2.639,0.001,0.05,0.062,0.062
7,500,1.486,1.417,1.321,1.323,1.323,0,0,0,0
8,0,1.37,0.184,3.746,2.631,2.9,0.001,0.05,0.059,0.059
8,500,1.409,1.33,1.321,1.321,1.321,0,0,0,0
9,0,1.366,0.785,2.381,2.638,2.634,0.001,0.05,0.06,0.06
9,500,2.157,1.321,1.672,1.319,1.319,0,0,0,0
