patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,0.849,0.041,1.005,1.414,1.414,0.001,0.05,0.052,0.052
0,1,500,0.854,1.42,1.419,1.417,1.419,0,0,0,0
0,2,0,0.856,0.034,0.979,1.438,1.484,0.001,0.05,0.054,0.054
0,2,500,0.852,1.437,1.435,1.433,1.435,0,0,0,0
0,3,0,0.857,0.029,1.06,1.43,1.432,0.001,0.05,0.052,0.052
0,3,500,0.858,1.445,1.442,1.441,1.443,0,0,0,0
1,3,0,1.665,0.026,1.153,1.424,1.423,0.001,0.05,0.052,0.052
1,3,500,1.665,1.441,1.442,1.439,1.426,0,0,0,0
0,4,0,0.859,0.036,1.061,1.438,1.437,0.001,0.05,0.056,0.056
0,4,500,0.863,1.455,1.455,1.454,1.452,0,0,0,0
2,4,0,1.673,0.027,1.203,1.421,1.422,0.001,0.044,0.044,0.044
2,4,500,1.669,1.44,1.44,1.437,1.427,0,0,0,0
0,5,0,0.858,0.033,0.969,1.442,1.443,0.001,0.05,0.054,0.054
0,5,500,0.857,1.456,1.455,1.457,1.457,0,0,0,0
2,5,0,1.671,0.027,0.935,1.43,1.422,0.001,0.05,0.058,0.058
2,5,500,1.664,1.432,1.442,1.439,1.462,0,0,0,0
0,6,0,0.857,0.031,0.975,1.451,1.45,0.001,0.05,0.054,0.054
0,6,500,0.856,1.459,1.465,1.463,1.462,0,0,0,0
3,6,0,1.671,0.027,1.16,1.426,1.42,0.001,0.041,0.041,0.041
3,6,500,1.669,1.435,1.44,1.441,1.426,0,0,0,0
0,7,0,0.859,0.031,1.134,1.459,1.458,0.001,0.05,0.054,0.054
0,7,500,0.858,1.465,1.467,1.467,1.473,0,0,0,0
3,7,0,1.679,0.026,0.908,1.437,1.42,0.001,0.05,0.055,0.055
3,7,500,1.678,1.425,1.44,1.438,1.433,0,0,0,0
0,8,0,0.849,0.031,1.037,1.452,1.452,0.001,0.05,0.054,0.054
0,8,500,0.852,1.458,1.457,1.465,1.468,0,0,0,0
4,8,0,1.679,0.027,0.935,1.428,1.416,0.001,0.05,0.051,0.051
4,8,500,1.675,1.421,1.434,1.434,1.432,0,0,0,0
0,9,0,0.85,0.028,1.075,1.453,1.454,0.001,0.05,0.056,0.056
0,9,500,0.851,1.46,1.459,1.465,1.469,0,0,0,0
4,9,0,1.678,0.026,0.708,1.43,1.421,0.001,0.05,0.069,0.069
4,9,500,1.674,1.422,1.429,1.433,1.436,0,0,0,0
