patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.002,0.002,0.003,0.003,0.003,0.001,0.005,0.005,0.005
0,500,0.002,0.003,0.003,0.003,0.003,0,0,0,0
1,0,0.301,0.154,0.38,0.38,0.378,0.001,0.005,0.005,0.005
1,500,0.297,0.274,0.273,0.274,0.274,0,0,0,0
2,0,0.297,0.155,0.381,0.38,0.381,0.001,0.005,0.005,0.005
2,500,0.3,0.274,0.273,0.273,0.273,0,0,0,0
3,0,0.297,0.153,0.364,0.364,0.364,0.001,0.005,0.005,0.005
3,500,0.3,0.274,0.273,0.273,0.274,0,0,0,0
4,0,0.299,0.154,0.375,0.373,0.372,0.001,0.005,0.005,0.005
4,500,0.3,0.273,0.273,0.273,0.273,0,0,0,0
5,0,0.294,0.144,0.376,0.374,0.373,0.001,0.005,0.005,0.005
5,500,0.292,0.263,0.262,0.262,0.263,0,0,0,0
6,0,0.279,0.124,0.377,0.377,0.373,0.001,0.005,0.005,0.005
6,500,0.279,0.248,0.248,0.249,0.248,0,0,0,0
7,0,0.266,0.102,0.376,0.378,0.372,0.001,0.005,0.005,0.005
7,500,0.265,0.236,0.235,0.235,0.236,0,0,0,0
8,0,0.253,0.082,0.376,0.377,0.373,0.001,0.005,0.005,0.005
8,500,0.253,0.224,0.222,0.222,0.222,0,0,0,0
9,0,0.243,0.064,0.376,0.38,0.374,0.001,0.005,0.005,0.005
9,500,0.242,0.213,0.212,0.212,0.212,0,0,0,0
