patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.16412000000000002,0.00738,0.008039999999999999,0.0063,0.0060999999999999995,0.00094,0.00094,0.00094,0.00094
0,500,0.00592,0.0070999999999999995,0.00738,0.00692,0.00646,0,0,0,0
1,0,7.8468599999999995,0.14076,0.15956,0.16456,0.1733,0.00094,0.00094,0.00094,0.00094
1,500,0.12916,0.15913999999999998,0.13054,0.1305,0.13172,0,0,0,0
2,0,0.13138,0.13232,0.18797999999999998,0.18618,0.18406,0.00094,0.00094,0.00094,0.00094
2,500,0.12988,0.131,0.12878,0.12828,0.1275,0,0,0,0
3,0,0.128,0.12788,0.18066,0.17880000000000001,0.17834,0.00094,0.00094,0.00094,0.00094
3,500,0.12634,0.12714,0.12586,0.1251,0.12476000000000001,0,0,0,0
4,0,0.12448000000000001,0.12356,0.174,0.17184,0.171,0.00094,0.00094,0.00094,0.00094
4,500,0.1345,0.12372,0.12256,0.12198,0.12146,0,0,0,0
5,0,0.12318000000000001,0.12014,0.16962,0.16822,0.16748,0.00094,0.00094,0.00094,0.00094
5,500,0.12151999999999999,0.1207,0.11871999999999999,0.11871999999999999,0.11828,0,0,0,0
6,0,0.12066,0.11802,0.16688,0.16588,0.16454,0.00094,0.00094,0.00094,0.00094
6,500,0.11921999999999999,0.11834,0.11664,0.11664,0.11644,0,0,0,0
7,0,0.11842,0.11531999999999999,0.1628,0.16152,0.16112,0.00094,0.00094,0.00094,0.00094
7,500,0.11724,0.11622,0.11448,0.11416,0.11366,0,0,0,0
8,0,0.11692,0.11388,0.16104,0.15958,0.15866,0.00094,0.00094,0.00094,0.00094
8,500,0.12648,0.11481999999999999,0.11326,0.11252,0.11248000000000001,0,0,0,0
9,0,0.1152,0.11168,0.1575,0.15666,0.15552000000000002,0.00094,0.00094,0.00094,0.00094
9,500,0.11358,0.11137999999999999,0.10958,0.10937999999999999,0.10942,0,0,0,0
