patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.005461538461538461,0.003384615384615385,0.005615384615384615,0.006076923076923077,0.005538461538461538,0.001,0.01576923076923077,0.01576923076923077,0.01576923076923077
0,500,0.0036153846153846154,0.005615384615384615,0.005230769230769231,0.0047692307692307695,0.005,0,0,0,0
1,0,0.42023076923076924,0.17192307692307693,0.6217692307692307,0.5968461538461538,0.5964615384615385,0.001,0.01576923076923077,0.01576923076923077,0.01576923076923077
1,500,0.3251538461538461,0.29561538461538467,0.2946923076923077,0.29415384615384615,0.29315384615384615,0,0,0,0
2,0,0.3269230769230769,0.2083846153846154,0.5766153846153846,0.5723076923076923,0.5718461538461538,0.001,0.012076923076923077,0.012076923076923077,0.012076923076923077
2,500,0.3241538461538461,0.29115384615384615,0.29,0.2900769230769231,0.28915384615384615,0,0,0,0
3,0,0.319,0.2633076923076923,0.5615384615384615,0.5605384615384615,0.5579230769230769,0.001,0.010615384615384615,0.010615384615384615,0.010615384615384615
3,500,0.3180769230769231,0.2877692307692308,0.2869230769230769,0.28638461538461535,0.28538461538461535,0,0,0,0
4,0,0.313,0.28246153846153843,0.5547692307692307,0.5529230769230769,0.5516923076923077,0.001,0.011,0.011,0.011
4,500,0.31146153846153846,0.2810769230769231,0.2796923076923077,0.27976923076923077,0.27853846153846157,0,0,0,0
5,0,0.3183846153846154,0.3343076923076923,0.5562307692307693,0.5546153846153846,0.5893846153846154,0.001,0.009692307692307691,0.009692307692307691,0.009692307692307691
5,500,0.31653846153846155,0.2860769230769231,0.28461538461538466,0.2855384615384616,0.2836923076923077,0,0,0,0
6,0,0.30969230769230766,0.323,0.5430769230769231,0.5426923076923077,0.5321538461538462,0.001,0.01023076923076923,0.01023076923076923,0.01023076923076923
6,500,0.30538461538461537,0.2720769230769231,0.2726923076923077,0.2712307692307692,0.2710769230769231,0,0,0,0
7,0,0.3086153846153846,0.3273846153846154,0.5357692307692307,0.5320769230769231,0.533,0.001,0.009538461538461539,0.009538461538461539,0.009538461538461539
7,500,0.3059230769230769,0.2729230769230769,0.2724615384615385,0.2720769230769231,0.2720769230769231,0,0,0,0
8,0,0.30830769230769234,0.326,0.5385384615384615,0.5376153846153846,0.5372307692307693,0.001,0.01023076923076923,0.01023076923076923,0.01023076923076923
8,500,0.3077692307692308,0.2762307692307692,0.27461538461538465,0.27476923076923077,0.2746923076923077,0,0,0,0
9,0,0.31146153846153846,0.348,0.5404615384615384,0.539923076923077,0.5400769230769231,0.001,0.01,0.01,0.01
9,500,0.30953846153846154,0.278,0.27753846153846157,0.27715384615384614,0.2772307692307692,0,0,0,0
