patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.002,0.002,0.003,0.003,0.003,0.001,0.011,0.011,0.011
0,500,0.002,0.003,0.003,0.002,0.003,0,0,0,0
1,0,0.303,0.08,0.439,0.419,0.42,0.001,0.011,0.011,0.011
1,500,0.244,0.218,0.218,0.217,0.218,0,0,0,0
2,0,0.247,0.062,0.405,0.406,0.405,0.001,0.005,0.005,0.005
2,500,0.248,0.218,0.216,0.216,0.216,0,0,0,0
3,0,0.25,0.075,0.424,0.423,0.424,0.001,0.008,0.008,0.008
3,500,0.248,0.217,0.216,0.217,0.216,0,0,0,0
4,0,0.247,0.065,0.425,0.424,0.423,0.001,0.007,0.007,0.007
4,500,0.252,0.218,0.216,0.217,0.217,0,0,0,0
5,0,0.256,0.141,0.424,0.423,0.448,0.001,0.007,0.007,0.007
5,500,0.258,0.217,0.216,0.217,0.217,0,0,0,0
6,0,0.251,0.14,0.422,0.42,0.421,0.001,0.007,0.007,0.007
6,500,0.254,0.218,0.217,0.216,0.216,0,0,0,0
7,0,0.262,0.242,0.432,0.429,0.431,0.001,0.006,0.006,0.006
7,500,0.261,0.241,0.241,0.24,0.24,0,0,0,0
8,0,0.262,0.235,0.431,0.429,0.429,0.001,0.006,0.006,0.006
8,500,0.262,0.24,0.238,0.238,0.238,0,0,0,0
9,0,0.262,0.254,0.432,0.431,0.432,0.001,0.005,0.005,0.005
9,500,0.259,0.239,0.238,0.238,0.238,0,0,0,0
