patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.02,0.01,0.009,0.009,0.008,0.001,0.001,0.001,0.001
0,500,0.01,0.01,0.008,0.011,0.008,0,0,0,0
1,0,7.475,0.13,0.193,0.193,0.193,0.001,0.001,0.001,0.001
1,500,0.13,0.155,0.154,0.154,0.155,0,0,0,0
2,0,0.133,0.142,0.188,0.189,0.188,0.001,0.001,0.001,0.001
2,500,0.132,0.157,0.155,0.579,0.155,0,0,0,0
3,0,0.133,0.147,0.191,0.19,0.191,0.001,0.001,0.001,0.001
3,500,0.132,0.146,0.146,0.147,0.145,0,0,0,0
4,0,0.131,0.142,0.185,0.184,0.184,0.001,0.001,0.001,0.001
4,500,0.132,0.143,0.143,0.143,0.143,0,0,0,0
5,0,0.128,0.137,0.181,0.179,0.178,0.001,0.001,0.001,0.001
5,500,0.124,0.136,0.135,0.135,0.135,0,0,0,0
6,0,0.128,0.136,0.183,0.184,0.182,0.001,0.001,0.001,0.001
6,500,0.128,0.136,0.135,0.135,0.137,0,0,0,0
7,0,0.128,0.136,0.179,0.18,0.179,0.001,0.001,0.001,0.001
7,500,0.131,0.129,0.129,0.128,0.129,0,0,0,0
8,0,0.131,0.137,0.182,0.181,0.181,0.001,0.001,0.001,0.001
8,500,0.131,0.129,0.128,0.129,0.13,0,0,0,0
9,0,0.13,0.136,0.18,0.179,0.18,0.001,0.001,0.001,0.001
9,500,0.126,0.123,0.123,0.123,0.122,0,0,0,0
